delta,theta,alpha,beta,gamma,deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,PFD,HFD,hjorth_mobility,hjorth_complexity,spec_entropy,svd_entropy,fisher_info,approx_entropy,Hurst
5667.7795762081005,2156.9963586926438,3153.6402978445926,7814.178774767201,14393.027679484834,0.17079021326994182,0.06499791729199006,0.09503031862892351,0.23546880070534024,0.43371275010380445,0.6391509418092486,0.056068111856398414,0.004566587145025662,84.73767627407452,0.6484842700473359,1.8882615525506905,1.8882615525506905,0.1897434900423345,1.0243180159156673
3176.251555201486,2307.1940593190648,4048.4100656592736,5566.144623319848,9765.091724681097,0.12774966008255942,0.09279594254423398,0.16282810123015481,0.2238717781767034,0.39275451796634836,0.6386743718665095,0.05976295946429469,0.004471773892794141,89.98951493750253,0.6922196502525749,1.9121654536471617,1.9121654536471617,0.2119432382673995,0.7331416506182636
13657.414749553573,2509.953319576637,2399.881728213465,8156.703344632231,13522.071491275809,0.3393481685212125,0.062365248305863374,0.05963028025954782,0.20267103195809985,0.33598527095527647,0.6406085558192915,0.060699665530997926,0.0028357756836826435,178.04574973329264,0.6408583846415242,1.6413816428184445,1.6413816428184445,0.20909286809053884,0.9577859588674401
1881.7157632539463,1695.5013709754671,3071.886337168885,7706.333709923219,10221.307398163568,0.07656489073108032,0.0689880372679932,0.12499158817531418,0.3135620214060375,0.41589346241957476,0.6421098382826886,0.04881824446452747,0.005425160493857342,77.09822405020284,0.6243057659795465,1.9588662322384267,1.9588662322384267,0.20452627804610565,0.7711228389085943
3804.500688027769,1039.9668246198241,3098.131497474301,5288.775974346914,10209.821492561186,0.16229976536205373,0.044364920776927344,0.1321660991370537,0.22561885778865343,0.4355503569353117,0.6421098382826886,0.06019199461636231,0.004849007954697341,89.93152807277365,0.6441449995293064,1.937653278282564,1.937653278282564,0.2026069209371562,0.8714155769245635
6592.237769773249,1456.4503421011173,2355.390979916893,7631.843023076484,2933.131985810372,0.3143793581781099,0.06945713121384992,0.11232700190518953,0.3639574291922724,0.13987907951057832,0.6902338621909068,0.009634072669024126,0.002316598531787104,89.34407074495088,0.7222860350183096,1.3823355003300153,1.3823355003300153,0.12725245436300575,0.881907817189739
3705.1654388254346,2640.7341585247405,3425.401281676641,7113.736184784848,14173.855472739764,0.1192948343043796,0.08502344877290817,0.11028729622749692,0.22904023948738994,0.4563541812078253,0.639632106805599,0.0546975604244501,0.005445677642505102,90.57080109628919,0.6486284217440201,1.9654818768433775,1.9654818768433775,0.19835462301313295,0.8282190701536714
13909.627481955707,3558.4713083286206,3400.8415210212634,9001.633204051857,14534.028287081841,0.31324743196304505,0.08013744440633949,0.07658759189310971,0.20271847598366188,0.327309055753844,0.6401179497704479,0.05240611350787102,0.002774114590341219,135.14734530653251,0.6748800477245938,1.6535626780220507,1.6535626780220507,0.19920263187821252,0.9375454261802851
4572.17734806983,1817.9089357382636,3391.2151372982607,6454.652996226449,13621.268060188848,0.15313471812430127,0.06088673978655908,0.11358106534696505,0.21618397361261277,0.4562135031295618,0.6441838137198849,0.05447986464809274,0.005247521353394224,65.17556405902778,0.6436611283199961,1.9624226762719463,1.9624226762719463,0.19696013838699464,0.8304155707581774
3196.2872559616126,2374.015087368159,3751.3801579609362,6879.132480314972,13454.22202625676,0.1077822716968514,0.08005436266151805,0.12650060618593506,0.23197180561572414,0.4536909538399714,0.6382023161889588,0.058967613984284885,0.0053960453972819525,67.0067448205791,0.6478819252458505,1.9852710223205132,1.9852710223205132,0.2146558547682506,0.7249178414854459
4291.562030058011,1929.1195340538266,2928.986149386691,5811.109871657628,10698.485844592406,0.16725195724373387,0.07518218671145738,0.11414926844668948,0.22647220126047754,0.4169443863376417,0.6382023161889588,0.05701549008325525,0.004848443592875516,77.32245736766528,0.6696264008383658,1.94259552689347,1.94259552689347,0.2088706552081517,0.7929661407412818
13087.153042093749,2602.278071902198,2503.3061031595453,6889.965114344058,13676.415333096938,0.3376535336883551,0.06713976552358883,0.0645862510292933,0.1777637244987524,0.3528567252600104,0.6377346960435631,0.05997232918994682,0.0027579098603336726,171.32681795126422,0.6411847404876867,1.626256466941102,1.626256466941102,0.20663863220337442,0.8162662302681013
5572.544220354008,2210.155059759511,3516.907924537986,8511.260558332888,15299.129433063925,0.15871673783503482,0.06294945133200601,0.10016827699814854,0.24241701048300976,0.4357485233518009,0.6431361754494215,0.05611709116219283,0.0051942100936417344,96.5757719477937,0.6463293949689773,1.959189568770023,1.959189568770023,0.20433506022467132,0.9363060936834282
11368.950136326834,2834.8699489104547,2396.5760516603623,5889.155485191521,2995.922585135447,0.44609529506435336,0.11123473418072896,0.09403694167797676,0.23107890547008397,0.11755412360685694,0.6914901657818519,0.010011250618261646,0.0012252987279544206,234.25414545070177,0.7239928919698546,1.0871080183152655,1.0871080183152655,0.1085776509507032,1.008355816215548
7442.77609400735,2149.1378625755274,1702.9636045633126,7899.552277078626,3317.5671498320844,0.33061376553825517,0.09546633573714901,0.07564693640758621,0.3509041104291862,0.14736885188782342,0.6927744453573927,0.00995707064866264,0.0023009189995996165,211.0673440521712,0.7163688170907714,1.3688939273768796,1.3688939273768796,0.12747984389129532,0.8401826185918434
4929.004945200106,1520.6478943263915,3576.835415613229,7507.536004118463,18136.64981146285,0.13818087472717253,0.04263019788500603,0.1002738386306286,0.21046801608609766,0.5084470726710951,0.6382023161889588,0.060602525109004636,0.0058555354483622885,66.39342354978491,0.6005858626716701,2.0127888794790074,2.0127888794790074,0.21226618421894428,0.8756697416197795
5577.438773907563,1443.600806970166,4695.169938550613,6836.611737859661,2203.7651863487476,0.2687069373884169,0.06954904704057079,0.2262014494194439,0.3293707159616089,0.10617185018995963,0.6996592167634621,0.008452530550475434,0.002204873363729606,91.09411767800283,0.7707752667057378,1.3461684703726662,1.3461684703726662,0.11219079560466176,0.9200054709689979
10333.664484441846,3389.9528793732334,2348.357116780594,6644.010236096771,16369.65327124838,0.2643852068534768,0.08673141987394814,0.06008235345947628,0.16998597382871586,0.4188150459843829,0.6426203946153349,0.05481843240797348,0.004216293625786876,86.9094106896048,0.6424312203165258,1.8505138131716974,1.8505138131716974,0.20208281182876725,0.8350611650985149
6880.903668511709,3432.637797054962,2984.4989902331386,5873.0105234328375,15071.83980915225,0.2009440064810677,0.1002438088030612,0.0871567476203111,0.17151035990877694,0.4401450771867829,0.6406085558192915,0.05675208262634242,0.004691794541333675,91.6966403973934,0.6636446994199411,1.8892549831360532,1.8892549831360532,0.2025740054878024,0.8602513336847867
