delta0,theta0,alpha0,beta0,gamma0,deltaRIR0,thetaRIR0,alphaRIR0,betaRIR0,gammaRIR0,PFD0,HFD0,hjorth_mobility0,hjorth_complexity0,spec_entropy0,svd_entropy0,fisher_info0,approx_entropy0,Hurst0,delta1,theta1,alpha1,beta1,gamma1,deltaRIR1,thetaRIR1,alphaRIR1,betaRIR1,gammaRIR1,PFD1,HFD1,hjorth_mobility1,hjorth_complexity1,spec_entropy1,svd_entropy1,fisher_info1,approx_entropy1,Hurst1,delta2,theta2,alpha2,beta2,gamma2,deltaRIR2,thetaRIR2,alphaRIR2,betaRIR2,gammaRIR2,PFD2,HFD2,hjorth_mobility2,hjorth_complexity2,spec_entropy2,svd_entropy2,fisher_info2,approx_entropy2,Hurst2,delta3,theta3,alpha3,beta3,gamma3,deltaRIR3,thetaRIR3,alphaRIR3,betaRIR3,gammaRIR3,PFD3,HFD3,hjorth_mobility3,hjorth_complexity3,spec_entropy3,svd_entropy3,fisher_info3,approx_entropy3,Hurst3,delta4,theta4,alpha4,beta4,gamma4,deltaRIR4,thetaRIR4,alphaRIR4,betaRIR4,gammaRIR4,PFD4,HFD4,hjorth_mobility4,hjorth_complexity4,spec_entropy4,svd_entropy4,fisher_info4,approx_entropy4,Hurst4
107.00658618523931,222.51777598951475,167.44123404149633,1822.8626303116826,12422.55828935179,0.007258430381673784,0.015093741827337812,0.01135781061371152,0.12364773019267883,0.842642286984598,0.6382023161889588,0.060612490619080965,0.01028619218413825,38.387114676629146,0.2537339368363185,2.0662861529247394,2.0662861529247394,0.21814875688347604,0.3930745574482833,132.29031204264055,158.91866974828199,778.1250341302937,6479.895160399602,2547.548963877512,0.013102230256595692,0.015739542608703923,0.07706666654705845,0.6417785030455584,0.2523130575420835,0.6914901657818519,0.01176344273639575,0.004383091779271954,40.31984920490991,0.3754768254186185,1.5279130570694266,1.5279130570694266,0.13454613285314396,0.5419038805423244,286.4653867465819,1276.7044254317234,2245.250353679934,1920.565190307682,210.00781463897658,0.048234671855626646,0.2149698423139784,0.37805235485321165,0.3233822863694912,0.0353608446076921,0.7483909273698894,0.0010919599861475995,0.00216126260942184,231.35116510108708,0.7515100666918463,1.038502048614727,1.038502048614727,0.07822176015657083,0.6085124145850578,3709.6234577361056,1503.603981787937,926.6888354202097,1483.808079745221,1877.7540543763182,0.3904259208963297,0.15824947624501048,0.09753101522979979,0.15616602131405702,0.19762756631480294,0.8110365849096722,4.019611845922961e-05,0.0005539750513510354,60.77274203168277,0.7306492092722103,0.5586015885740431,0.5586015885740431,0.038817794026422374,0.8577017503810997,2462.9604797368033,104.66091536285043,91.31166631055343,127.81169103765986,157.2770942033399,0.8365972156553099,0.03555031885442735,0.031015960840922247,0.0434139750637531,0.05342252958558746,0.8627826814862889,-0.0011796515553818955,0.0012785889705363384,746.6966569442252,0.3179984486252737,0.39216702264385667,0.39216702264385667,0.023242861262516235,0.9632557313548249
152.96820383014483,84.55004164146118,168.07002172497863,1329.9447168891525,10424.133276428955,0.012579967291279096,0.006953319263047139,0.01382192719143466,0.10937345552055133,0.8572713307336878,0.6341445928363746,0.0735185607640882,0.01160666574988395,36.99895198828084,0.24282636393913942,2.101708950460916,2.101708950460916,0.19066810200434942,0.37503025324668676,180.26602787265233,130.04020507637387,349.57558210731827,4461.990979339179,2770.903958230957,0.022839367376337506,0.016475849900746322,0.04429057010778747,0.5653258820293329,0.3510683305857958,0.6760181667563953,0.01602582886192056,0.005123141895174935,37.224246501244224,0.3817804331200199,1.6037766541960596,1.6037766541960596,0.13852849827947586,0.36154767683586536,458.4652947628298,1218.0116800421638,3211.0285885304334,2940.5206323708994,1581.6418990402992,0.04872279129789804,0.12944257627133246,0.3412478055759624,0.31249993121570124,0.16808689563910575,0.7423183624341485,0.0019863745894278823,0.0022777672056321714,224.27187704243195,0.7097166072418594,1.1149592880379304,1.1149592880379304,0.07814503111287535,0.509290286730175,2559.310977173598,2071.9328847238753,721.9968230501805,892.7614302754977,1156.8949279866645,0.34571748900939847,0.2798813589639641,0.09752895641206033,0.12059622402750665,0.15627597158707035,0.8110365849096722,-0.0004280208762656375,0.0019392675990273528,484.3498172123149,0.7491454598813932,0.6124988311843512,0.6124988311843512,0.049414039812849885,0.8264764891288486,8056.2639965630715,756.9836465360438,554.00929350595,873.5158027935707,1127.8672274063279,0.7086392057525241,0.06658524227579933,0.04873136057818608,0.07683555863710434,0.09920863275638617,0.8627826814862889,-0.0013636768416323969,0.00035498010463902994,2647.567602666084,0.4777223148847715,0.19738835326748416,0.19738835326748416,0.010443412418241375,0.9906532933621441
126.80026156644178,95.67919658070836,202.85901057208417,1330.2298062732327,9291.72638493241,0.011477946906442344,0.008660871238258344,0.018362777206257994,0.1204122680911888,0.8410861365578525,0.6328629677743233,0.08236745787708331,0.011898436515832648,42.40818120142375,0.2613970881876884,2.161655139921375,2.161655139921375,0.1883220306196131,0.46649390033332744,146.63437292973302,165.05218001938525,430.5710041135687,3408.617274632209,2505.8304808701096,0.022028070350801048,0.02479487558324649,0.06468229910986674,0.5120577094194332,0.3764370455366525,0.6854672108902352,0.016598657654732746,0.0053120044822126495,53.172261451022116,0.4321777048053074,1.6373886903145605,1.6373886903145605,0.1642899802444413,0.45997740961088956,761.8683220411992,1720.456529690871,3227.669471947791,2314.157621851193,1050.5934129994816,0.08395478792416142,0.18958730649930466,0.35567603766574934,0.25501075021083813,0.11577111769994648,0.7452849796800897,0.0017757724081471583,0.0036520939245614477,245.04187542701106,0.7700799924987309,1.03977429756679,1.03977429756679,0.07509810482939162,0.658604553000806,5838.832457572593,1622.669991306067,669.2464329033063,206.46383616159434,225.87477454233408,0.681860656299047,0.18949590235180466,0.07815480496848476,0.024110910503106067,0.026377725877557493,0.8279860863977548,-0.0009518404854899932,0.0011928267133471987,739.308154712657,0.5376703032981529,0.5494901593868732,0.5494901593868732,0.04892016637723561,0.8986939805402825,20796.630080050854,2321.2520599076106,2121.8529019367666,3491.562396182306,4525.484255559927,0.6253350150243061,0.069797856006966,0.06380211174620994,0.10498798195046924,0.13607703527204865,0.9535530550501782,-0.0017550331799051388,0.0002706502521651117,3594.7351924496247,0.5539834419990702,0.07040960549153338,0.07040960549153338,0.0007040262319167301,0.9867460277785315
234.12027644576196,176.5614088530882,205.26351997891285,1289.1830957570978,10068.689132991358,0.019552684658483102,0.014745623927031857,0.017142696647070275,0.10766684082668593,0.8408921539407288,0.6307987680587935,0.08304255872700424,0.011492993160553685,37.02702605686764,0.2788403332883022,2.1333031704074243,2.1333031704074243,0.20065057698677374,0.45430047719493466,179.88463041184093,208.53894640446742,497.3444852815096,4604.024581794856,3158.842344886129,0.020799193242081872,0.024112353761609417,0.05750554693622643,0.5323411830616462,0.36524172299843594,0.6800223500554389,0.016639900678974126,0.005141713982931251,44.915533359817445,0.41643440996929226,1.621574159646995,1.621574159646995,0.12607693089384192,0.4379879398124358,1384.9621691248508,1683.9110655150168,2209.5410907195997,2493.785999039875,107.630990383046,0.17576038290650875,0.21369887225327236,0.28040461812609485,0.31647707919350865,0.013659047520615404,0.7550726053987833,0.0008942541808534426,0.001987650556857771,266.3682398385742,0.8425358630634783,1.0443184772662546,1.0443184772662546,0.08017948209911432,0.6936825691500391,2657.5914836537204,2454.94565472862,1729.6453308474895,1964.5344747299223,2423.1526899771534,0.23665381436151514,0.21860856223207809,0.15402185307837096,0.17493831529379977,0.21577745503423604,0.8110365849096722,-0.0005610519364847084,0.0028619294133366575,336.1838598831726,0.7869455613758534,0.6309178324921588,0.6309178324921588,0.05192879772033609,0.8182721374197883,12362.477302298677,421.44091835749634,363.15876352959344,596.2397348576179,772.6725923681914,0.8516455225397596,0.029032876045602035,0.02501784451192041,0.04107468819840553,0.05322906870431241,0.9215818323341244,-0.0016267087661362386,0.00043326768996538966,2285.694519908968,0.28762433856120756,0.10793032787863523,0.10793032787863523,0.00771711384261954,1.0077939546121262
218.57272864522758,121.91582870402851,280.51719445335107,1268.5224307639298,10596.628776532743,0.017505204312359923,0.009764079460428569,0.022466255659947018,0.10159430438999045,0.848670156177274,0.6411040123456083,0.06813912745644082,0.010953791762961544,38.475199486336344,0.2694170924994946,2.0736744221689585,2.0736744221689585,0.21913555679930877,0.3291993204701731,534.9134424245146,447.90293100647204,1424.80623955522,4183.269694640905,1537.174819440757,0.06581065757234711,0.055105712588774995,0.17529459553924806,0.5146696784417409,0.1891193558578889,0.6902338621909068,0.01234687563764833,0.0038570352769177214,69.420918349941,0.6125681194053684,1.5455432353419971,1.5455432353419971,0.13468953859817914,0.5547662689659574,728.1239427713925,1814.0762953897452,3192.1190421689407,1526.2132343751173,852.6232030891391,0.08974608254768494,0.22359687875964063,0.39344974424289236,0.18811585620472202,0.10509143824506004,0.7452849796800897,0.0011895285585494621,0.0017932379823335119,246.24269094650847,0.7658454373766252,0.9681374389176544,0.9681374389176544,0.06723871068098386,0.660934607751119,746.5381845972437,2536.3556046882272,310.3412977234518,270.6693598398734,347.63916083539914,0.17725999161807166,0.6022389510725962,0.07368825462408056,0.06426844526696153,0.0825443574182901,0.8110365849096722,-0.001157738474601802,0.0009154354807840035,356.5997253407335,0.6093117150225491,0.6429356199294922,0.6429356199294922,0.061493609639871986,0.682218467007401,1807.0340855308555,241.39797377398867,196.1049866872848,321.69460251971543,417.0122882638183,0.605727900174307,0.08091794666811437,0.06573548487598307,0.10783382429913124,0.13978484398246419,0.8495024522226544,-0.0011871882630679364,0.001555071496029502,634.385670490656,0.5754947087606795,0.31428295840348347,0.31428295840348347,0.01020967538656828,1.022193888868477
145.9198835478338,154.38202286623834,252.6663446128108,1364.6307289716701,11356.525921853556,0.01099280627738209,0.011630297590818794,0.019034501067377845,0.10280381863675746,0.8555385764276638,0.6332864686472042,0.069777081614457,0.010733301440020935,36.2470857618368,0.255159389674557,2.0727161531348646,2.0727161531348646,0.19638248093618435,0.3297661858392698,309.83398786200075,330.64288505268837,492.8272282943718,6282.2725398149,2503.6181657565426,0.03123580027384948,0.03333364164061679,0.04968419694282927,0.6333450105769172,0.25240135056578733,0.6927744453573927,0.013149868455780409,0.00435887849695154,42.06279757510726,0.4101261353626871,1.566766165350473,1.566766165350473,0.14259939482132558,0.43952798704575236,1018.3801606354244,1185.984965398322,2277.289680496101,2120.1781583012776,1294.6106315721208,0.12896693912931725,0.15019229238065182,0.288394345213,0.26849785380180496,0.16394856947522599,0.7516487272597022,0.0012586685347535196,0.0019319828060084922,191.39263821191025,0.7832167161215037,1.0563410089334222,1.0563410089334222,0.07325908436718044,0.6429544481475278,1720.5520875450052,3059.590602019196,745.3199698318797,784.9972162402377,1068.6452726944776,0.23316541138246358,0.4146289476185735,0.10100411294457243,0.10638108557347355,0.14482044248091686,0.8110365849096722,-0.000176661321452339,0.0011782546690280774,571.0529374710461,0.7297270418815538,0.6793295956213063,0.6793295956213063,0.05740088460917069,0.7622572723173152,8614.869129096405,482.2960812191044,383.1971459243188,580.8524744252728,738.5363544395966,0.797691445056462,0.044658073408607765,0.03548203466509806,0.05378387561617158,0.06838457125366049,0.8975525498953432,0.00021473031514000385,0.0015266181841071787,647.905535038008,0.369568643953382,0.27831770252950133,0.27831770252950133,0.010836016887731033,1.0069248173362648
195.9578239789396,109.48911422531503,321.12474614511655,1648.673766172415,13981.116547984926,0.01205422369389535,0.006735154780348307,0.019753789081137257,0.10141714156733592,0.8600396908772832,0.637271434684522,0.06692259868943295,0.010514829786610608,40.57070381434602,0.2463932607310834,2.082600490602042,2.082600490602042,0.2242304468166817,0.35032929325384066,196.9777394784797,242.73236511389615,588.0392079304772,4680.591044361071,1987.5836265049759,0.02559507343155182,0.03154037976957888,0.07640917571427651,0.6081909143676304,0.25826445671696246,0.686622061693755,0.013677717728854165,0.004585748558949531,66.15808148441661,0.4360309372391478,1.5984900088068374,1.5984900088068374,0.15174196886792338,0.4868642726354596,1002.3902115496369,1204.8475580172085,3291.103075378009,2267.845493889465,596.8081934804845,0.11986020171080801,0.1440689161473979,0.39353165455999173,0.2711762497424168,0.07136297783938562,0.7586788096174133,0.0008519429641735517,0.001715756496068605,45.43039025898258,0.779333984235258,1.0225329962945897,1.0225329962945897,0.08064656181497017,0.6515956326902699,2468.192499648112,1430.0512079391153,398.87022126063493,457.01927756244817,624.480585510571,0.4588900774685737,0.2658772805155056,0.07415855398648824,0.08496971436189164,0.1161043736675409,0.8037737154887681,-0.0012748033660595344,0.0010011149741734732,717.6368459183691,0.6909739328443254,0.6180821228841284,0.6180821228841284,0.05830996713732543,0.82878060609441,1843.9810415473708,416.2378672988002,260.0832815679467,382.500959148409,487.01819430384177,0.5439758779275841,0.12279050282456681,0.0767247754925339,0.11283808801325657,0.14367075574205856,0.8627826814862889,-0.0010434237244366076,0.001360926628794035,682.2967598958471,0.6411610761635498,0.4605476882614661,0.4605476882614661,0.038051006639165226,0.8493031286005124
83.1515087126884,107.34891293955181,159.63018196078653,973.4030475453253,11195.5725015319,0.006641968499869284,0.008574806510166337,0.012750924867466143,0.07775339833955709,0.8942789017829411,0.6382023161889588,0.06896191825173138,0.011199026427409171,35.746091727876575,0.2040042779141848,2.0438634366459922,2.0438634366459922,0.21516730116125915,0.3012637775123773,337.9404031626582,307.6326495998706,573.9705159116232,4715.01308730996,2857.1797599497804,0.03843841388945472,0.03499111381937315,0.06528522794102147,0.5363005513637334,0.32498469298641725,0.6843353904183089,0.0131632094990147,0.004886908359411152,37.91819482309523,0.46903514390113105,1.610272001762082,1.610272001762082,0.1508014204360596,0.5195131002303794,423.72403013199045,1751.7673267037476,2248.4096172297973,2522.7715028543985,1280.3116870282336,0.05150417476051678,0.21292946379795466,0.273296942406022,0.3066459655908355,0.15562345344467104,0.7394800001315548,0.0008629370559704905,0.0025654293536974187,290.3301925858022,0.7450541470076152,1.0278613656163333,1.0278613656163333,0.07854501022168071,0.6065933821731302,2107.5347844992366,2729.578860632326,1517.7781341780012,2042.9031727473232,2502.0156255834504,0.19335517525621895,0.2504244308824716,0.13924812026472663,0.18742556654499076,0.22954670705159202,0.8110365849096722,-0.0009932171386025923,0.0025767385457839027,370.4371465938721,0.7784154327495928,0.6267177154600939,0.6267177154600939,0.056008063082154336,0.8248300259392555,13345.022634622945,816.1875541577534,644.1808516439578,1037.6645862877149,1334.9540208013564,0.776866639876084,0.047513511221940946,0.03750031958662881,0.06040656674319088,0.07771296257215526,0.8627826814862889,-0.00010492617009303471,0.00017793239356632255,4997.846953300312,0.39366481539102355,0.14416539589702493,0.14416539589702493,0.011100638004773653,0.9214607946112332
117.81261001802179,62.32965413655439,171.46685808463792,1452.1620713556727,10318.69491637133,0.009718534904474985,0.005141664540131108,0.0141445524804289,0.11979097802235221,0.8512042700526128,0.6363576908888365,0.06670098052112902,0.010837749418488134,37.462202687806695,0.24018466120471862,2.070103500453091,2.070103500453091,0.19556206410740623,0.2990168198660474,180.9530676677488,91.4956615074478,428.21920930452865,5849.229303802176,1919.7140669457958,0.021364978989130142,0.01080281705581491,0.05055948775807232,0.6906136645762483,0.22665905162073433,0.6902338621909068,0.010537191500042993,0.0044842184737058305,87.02179794345105,0.3340496353851973,1.508321596684633,1.508321596684633,0.12268909454205044,0.44178334752503073,846.2729208884141,1053.7281666922402,2132.5374086505612,1406.6975661972301,167.29516270346107,0.1509441197963726,0.18794654383958218,0.38036663366668194,0.25090336782421724,0.02983933487314611,0.7516487272597022,0.004070783034463037,0.0016409105381470159,110.80957336137058,0.8165421080864107,0.9893102897571106,0.9893102897571106,0.07394470239791961,0.6870975858085537,1159.531588002392,1310.6349473884459,465.6537484115473,462.7596320065767,533.3461423304826,0.29490167690261015,0.3333315347259169,0.11842891792118056,0.1176928622674941,0.13564500818279823,0.8110365849096722,0.0012386954048723819,0.0008181548145350845,337.39540314433896,0.764737944133101,0.6103202765587561,0.6103202765587561,0.06769660713066927,0.7658437256170405,5270.438539186435,886.5861980859961,767.680055757213,1235.712579221938,1593.7368657755999,0.5403275784423522,0.09089319037314217,0.07870288258969334,0.1266857739858608,0.1633905746089514,0.8627826814862889,-0.0005509919649120389,0.0004817801941864398,1785.0595658025932,0.6290333846392886,0.29038013626278075,0.29038013626278075,0.009850901605886746,0.9838817531605805
166.3580256379924,116.07722369852394,301.2758002513106,1148.087982768026,12584.578735260791,0.011620119861204757,0.008108002288196687,0.0210441359638323,0.08019402682744078,0.8790337150593255,0.6332864686472042,0.07866134040735251,0.011643287730877324,36.504932512752795,0.2326373608220663,2.11506654283787,2.11506654283787,0.2055915770693202,0.33649287377132153,168.8500153994239,120.5456477348585,344.85664547458964,4667.687521023055,3312.613436846099,0.019600553873927878,0.013993255831842154,0.04003186640177116,0.5418374437577066,0.38453688013475223,0.6800223500554389,0.01629659556552342,0.005107987302586125,40.293930333712254,0.3713537830037529,1.6068248437859205,1.6068248437859205,0.15378192225319556,0.3575821330176356,413.0813811042589,833.5100219070326,3111.9306493840545,2220.7515176122392,1313.1035725297697,0.05233928557188229,0.10560950228983405,0.39429573538899415,0.28137929517370736,0.16637618157558223,0.7452849796800897,0.004061295322148754,0.0028737894398183153,270.56659325329804,0.6931417604416041,1.0977286341633596,1.0977286341633596,0.07728661019687254,0.6683143010590296,4410.014272658162,568.491300871784,1333.711137183992,1403.4776271962612,1709.3129368176649,0.46790566246915666,0.06031733284664214,0.14150770374047286,0.14890997813439727,0.18135932280933115,0.8380394845194683,0.0003558938367859143,0.002917168904050661,335.10018896431967,0.6741724723556746,0.5546070936617901,0.5546070936617901,0.0422285358250717,0.850733041244997,4105.746111174183,805.375394260684,644.5154599384076,1029.7702114389385,1325.3132984737838,0.5190103890032529,0.10180809659205751,0.0814736738520781,0.13017401065504203,0.16753382989756943,0.8495024522226544,-0.0014189585944234186,0.0016899465117445002,586.2418115675187,0.6478557386862036,0.3132881344985629,0.3132881344985629,0.009600938477479767,0.9022436504126232
