delta,theta,alpha,beta,gamma,deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,PFD,HFD,hjorth_mobility,hjorth_complexity,spec_entropy,svd_entropy,fisher_info,approx_entropy,Hurst
9614.913260677866,5918.185380181312,2789.5814833121226,8022.159247362804,11612.897760792162,0.2533057549547504,0.15591512632983484,0.07349177517055958,0.21134450716586123,0.3059428363789941,0.6497725315895624,0.04419323628736765,0.0032407919232717154,164.72574144952415,0.7194624174373305,1.6911569219959657,1.6911569219959657,0.18243064508450277,0.9250002974977705
2036.477633423761,2493.4982115580715,2485.7032014882293,6127.882808380321,10564.271415999714,0.08589893518138188,0.10517613242303106,0.10484733771704557,0.2584750254640454,0.4456025692144961,0.6486048308749939,0.04769417990912302,0.005166292964522026,71.53330724476072,0.6423842900950748,1.948082980688571,1.948082980688571,0.21732701184016398,0.774368380159985
3597.644652889051,1175.7507616063554,3363.0856050863586,5921.125077156888,10576.56121870947,0.1460428764171364,0.04772845562630567,0.1365211806033875,0.24036229848303992,0.42934518887013046,0.6480307986965479,0.04340993150075319,0.004772271550744249,83.9109908429181,0.6466107285446043,1.8994203769989288,1.8994203769989288,0.1863739905153676,0.8217291980349518
7257.417000675018,2583.0799296088267,2203.225690153413,6425.591276929653,10268.454453207323,0.2525393382026479,0.08988449966252204,0.07666655473299437,0.22359395477558916,0.3573156526262465,0.6406085558192915,0.054056431477711935,0.003668533343514645,96.22562692369696,0.6809350353893706,1.7901244681374173,1.7901244681374173,0.1753522908384873,0.9046136212961123
15007.290849874877,4003.873361346836,4300.643709703487,6152.5504537287525,11805.508425258702,0.36363797641107576,0.09701687143209559,0.10420784080923151,0.14908093800151964,0.2860563733460775,0.639632106805599,0.06086176816381579,0.0024421969376868537,217.4371726542848,0.6919034324051355,1.544136935396989,1.544136935396989,0.143546877498704,0.9958845174089368
21349.339400391735,4259.092358572131,4982.219211916882,7801.19470140752,13282.342048133945,0.4131528784912905,0.08242204757267797,0.09641601410113418,0.15096888883121043,0.2570401710036869,0.6421098382826886,0.05591041552505259,0.0018077131176422224,409.18312554710025,0.6722085214900052,1.2445242599676483,1.2445242599676483,0.08733038337192481,0.9969282942157526
3649.590906576147,3927.277518814848,3564.3030427788703,7105.487351302831,9701.715758287322,0.13058329730131488,0.1405189954030453,0.12753167569233786,0.2542361571523032,0.34712987445099885,0.6480307986965479,0.04576717687347629,0.00412238790562524,95.46179537983068,0.7160277663963558,1.8583939658910107,1.8583939658910107,0.18555780498978916,0.830950096975379
15912.791582987695,5902.804560586631,3384.9054260622634,8923.45282917724,13583.478344312614,0.3335495261014724,0.12372924345708144,0.07095132207779407,0.18704533688124114,0.28472457148241087,0.6431361754494215,0.056304911071097065,0.00245639790046593,151.7026793888685,0.699661164980876,1.60631067309162,1.60631067309162,0.1738459933435194,0.9497466954945667
31048.16800639281,5243.547339862122,4179.13898799163,5993.763214087474,11403.639724438193,0.5365319342526905,0.0906118066619103,0.07221815870992143,0.10357601034769053,0.1970620900277872,0.6411040123456083,0.05415295174943629,0.0010991561258743368,331.2961524853391,0.606598217771918,1.1253888742949811,1.1253888742949811,0.16462975791380197,0.8354647755463849
35268.635166432745,6480.1239795966285,5229.757663126899,11816.361439309496,16551.96472600352,0.4680837812724715,0.08600392164794972,0.06940911465791556,0.15682623150267064,0.21967695091899242,0.6431361754494215,0.058596844830088306,0.0010492222078719799,453.4090441591157,0.6474490915794705,1.073955134588903,1.073955134588903,0.14964451687914693,0.9148603343791107
8269.040188566942,4354.09697851855,4739.428895834858,7436.207380499661,13006.821557000107,0.21872530212723942,0.11517070366093074,0.12536316108190312,0.19669594885140745,0.3440448842785193,0.639632106805599,0.05602028683308252,0.003520743973430858,151.3298965759181,0.7217055534665006,1.7618010461874434,1.7618010461874434,0.1739485384966617,0.8844862765510386
18399.685878990975,3410.6277065400027,4383.1301629252675,9978.866622220943,10036.695009927318,0.3981839844298824,0.07380872361237967,0.09485445806122061,0.21595069056408242,0.21720214333243498,0.6411040123456083,0.054821000596935225,0.0019711733230588606,191.39583218922994,0.6918193505382443,1.491692273499907,1.491692273499907,0.149145410761861,1.0550255899171859
40494.274268515896,5739.548073717015,5399.105400824436,8953.444584843226,15011.40343679587,0.5356543080653227,0.07592218177928639,0.07141883932709268,0.11843529117459052,0.1985693796537077,0.6337136569772641,0.06748952657260952,0.0012696568046669196,319.32870146384295,0.6034892385644597,1.2101119786223673,1.2101119786223673,0.11162391136326962,1.0290958021213492
